id;bank_id;bank_name;bank_acc_no;owner_name;branch_id
1;Hampshire;Rubber ability Face;Granite green empowering;invoice;programming
2;Granite copying Ball;Đông Intelligent;quantify projection Gorgeous;navigating;synthesize
3;Uganda Gloves;Dynamic;Port;green yellow transmitter;Cambridgeshire
4;disintermediate;mission-critical;Underpass Pants;Metal Course;generating Money
5;bypassing Granite;gold;Integration Loan;auxiliary lavender Fresh;Pants
6;Jamaican invoice Jewelery;Angola Program Arizona;feed;PNG Account Object-based;enhance
7;Configurable Toys;panel Incredible optical;Legacy Legacy New;Implementation Singapore Coordinator;relationships
8;Configuration;Buckinghamshire;orange microchip;Fantastic haptic;project Games
9;improvement generate Direct;Fantastic Operations;calculate Account;Sleek;interface
10;Drive PCI calculating;Sleek District;Creative grow;Practical Cotton fuchsia;Chair programming
