id;email;created_at;updated_at;deactivated_at;deactivated_by;invited_by
1;Bernadette.Johns@hotmail.com;2023-07-03T00:28:48;2023-07-02T08:15:51;2023-07-02T16:45:10;Clothing productivity Rubber;supply-chains Identity Borders
2;Abagail_Hyatt@hotmail.com;2023-07-02T10:51:58;2023-07-02T13:27:25;2023-07-02T23:11:34;global bypass architectures;Credit Shoes Point
3;Oral_Gleason@yahoo.com;2023-07-02T18:25:04;2023-07-02T09:51:35;2023-07-02T06:08:43;Shoes;cross-media monetize uniform
4;Eugenia_Ruecker22@gmail.com;2023-07-02T16:09:51;2023-07-02T18:26:34;2023-07-02T15:35:33;Architect innovate;Gorgeous
5;Jermain56@hotmail.com;2023-07-03T02:32:26;2023-07-02T08:50:25;2023-07-03T01:14:54;Producer;non-volatile
6;Avery_Murray79@yahoo.com;2023-07-02T08:34:37;2023-07-02T19:02:47;2023-07-02T08:19:04;Applications deliver Rest;TCP indexing Upgradable
7;Danyka76@gmail.com;2023-07-02T20:51:07;2023-07-02T20:33:44;2023-07-03T03:49:58;overriding;North
8;Demetris89@yahoo.com;2023-07-02T16:01:46;2023-07-02T13:04:49;2023-07-02T22:30:46;Borders International;Business-focused
9;Juanita.Gaylord82@yahoo.com;2023-07-03T03:21:26;2023-07-02T18:56:57;2023-07-02T10:05:51;deposit morph website;utilize
10;Luna_Zulauf@hotmail.com;2023-07-02T16:42:11;2023-07-02T10:51:14;2023-07-02T11:36:29;Factors;GB Agent innovate
