id;account_number;sub_account;customer_name;status;create_at;updated_at
1;scale auxiliary;array;hack;false;2024-07-31T12:10:27;2024-07-31T16:39:39
2;Cross-group;Coordinator asynchronous Wooden;Forint Global;true;2024-07-31T23:59:06;2024-08-01T02:29:56
3;drive;Dakota;yellow back-end;true;2024-08-01T00:27:12;2024-08-01T05:44:22
4;JBOD encoding generating;composite virtual matrix;SMS matrix fuchsia;false;2024-07-31T10:20:29;2024-07-31T19:43:18
5;back-end Indiana SDD;Gorgeous Inlet secondary;deposit 6th;true;2024-08-01T00:58:44;2024-08-01T00:42:26
6;TCP logistical;quantifying microchip;invoice State);false;2024-07-31T14:39:23;2024-08-01T07:37:50
7;array Ergonomic Cambridgeshire;Steel;iterate;false;2024-08-01T02:36:33;2024-07-31T21:13:08
8;Granite;Cross-group Interactions Paradigm;Iowa Dollar flexibility;true;2024-08-01T09:25:06;2024-07-31T17:12:18
9;capacity Intelligent Rest;multi-byte Inverse Massachusetts;wireless;true;2024-08-01T07:41:29;2024-08-01T02:40:37
10;payment e-tailers;strategy;Re-contextualized;false;2024-07-31T11:48:11;2024-08-01T04:18:36
